index;x;y;z
335;-0.016037;-0.654327;-1.125290
336;0.056351;0.256882;-0.912155
337;-0.015488;1.099304;-1.151505
338;-0.025772;1.202347;-1.218994
339;-0.020447;0.442047;-0.763229
340;0.127716;-0.536148;-0.688339
341;0.044479;-1.140259;-1.017014
342;0.034515;-1.085831;-1.147751
343;-0.076675;-0.420288;-0.825043
344;0.020325;0.503540;-0.885742
345;-0.037521;0.845108;-1.328003
346;-0.082703;0.517212;-1.168137
347;0.058548;-0.054352;-0.930710
348;0.037186;-0.341278;-0.773712
349;-0.117538;-0.207642;-1.226654
350;-0.151550;-0.084351;-1.018967
351;0.019379;-0.016129;-1.019028
352;0.042038;0.032303;-0.935577
353;-0.000916;0.000092;-1.015976
354;-0.023544;-0.062241;-1.018799
355;-0.052155;-0.119034;-0.959457
356;-0.102921;-0.123505;-0.920074
357;-0.121689;-0.074524;-1.014954
358;-0.051346;-0.074005;-1.022964
359;-0.034363;-0.063614;-0.974869
360;0.040497;-0.092270;-0.938400
361;0.024139;-0.083237;-0.986679
362;0.026276;-0.072113;-0.997849
363;0.031860;-0.094803;-0.955902
364;0.002640;-0.098328;-0.989578
365;0.014175;-0.117020;-0.976074
366;0.045761;-0.094284;-0.987045
367;0.032471;-0.117828;-0.958054
368;0.032318;-0.091629;-0.997086
